No,Keyword,Search Volume,CPC,Paid Difficulty,SEO Difficulty
1,"aboriginal house loans",1600,"$9.98",50,24
2,"aboriginal house loans nsw",110,"$14.52",49,27
3,"aboriginal house loans qld",70,"$9.67",63,27
4,"albert property and finance group",70,"$0.00",1,0
5,"anz commercial property loan",90,"$9.00",54,31
6,"anz commercial property loan interest rates",170,"$6.15",48,33
7,"anz commercial property loans",90,"$9.00",54,31
8,"applying for house loan",1300,"$93.52",44,4
9,"aussie home loan house for sale",90,"$0.00",1,5
10,"aussie home loan property report",90,"$39.29",31,17
11,"aussie home loans house",90,"$9.08",14,15
12,"aussie home loans property report",110,"$18.33",37,16
13,"australia property loan interest rate",320,"$8.14",69,20
14,"australian property finance",90,"$4.32",9,21
15,"average house loan",110,"$5.34",39,22
16,"bad credit commercial real estate loans",70,"$38.02",11,17
17,"bank house loan rates",260,"$10.72",64,22
18,"best bank house loan",1300,"$40.31",73,35
19,"best investment loans for property",260,"$17.32",25,8
20,"best investment property lenders",320,"$13.40",38,33
21,"best lender for investment property",260,"$17.10",52,17
22,"brokering commercial real estate loans",50,"$17.79",34,31
23,"business loans for property development",70,"$11.13",21,24
24,"business loans property",110,"$12.84",48,0
25,"business property loan calculator",1900,"$3.27",60,35
26,"business property loans calculator",2400,"$2.98",34,0
27,"can i get a house loan",320,"$26.71",62,4
28,"can you get a house loan without a deposit",140,"$9.51",60,4
29,"commbank house loan",140,"$2.93",77,4
30,"commercial financing real estate",260,"$9.13",67,35
31,"commercial lenders for real estate",260,"$12.40",37,32
32,"commercial loan for investment property",170,"$12.55",18,35
33,"commercial loan property calculator",50,"$2.29",50,21
34,"commercial loan rates real estate",90,"$5.49",47,0
35,"commercial property construction loan",140,"$11.95",41,22
36,"commercial property finance rates",480,"$6.28",45,5
37,"commercial property investment loan",140,"$7.02",45,0
38,"commercial property investment loans",110,"$9.85",14,0
39,"commercial property loan broker",50,"$24.04",56,20
40,"commercial property loan brokers",50,"$24.62",56,22
41,"commercial property loan calculator australia",260,"$3.75",67,18
42,"commercial property loan comparison",70,"$12.10",66,22
43,"commercial property loan interest rate",390,"$6.34",27,0
44,"commercial property loan interest rates",880,"$6.80",51,32
45,"commercial property loan interest rates australia",90,"$4.10",77,23
46,"commercial property loan melbourne",260,"$110.85",1,25
47,"commercial property loan rate",1600,"$10.28",38,25
48,"commercial property loan rates australia",210,"$5.61",81,25
49,"commercial property loan repayment calculator",90,"$2.95",50,20
50,"commercial property loans australia",110,"$10.62",28,35
51,"commercial property loans interest rates",880,"$7.25",35,0
52,"commercial property loans interest rates australia",90,"$4.10",77,25
53,"commercial property loans melbourne",210,"$18.90",5,7
54,"commercial property loans rates",1600,"$10.28",38,34
55,"commercial property mortgage brokers",70,"$30.56",60,33
56,"commercial property mortgage loans",170,"$8.17",34,35
57,"commercial property purchase loan",50,"$6.59",66,25
58,"commercial real estate construction loans",140,"$11.95",41,14
59,"commercial real estate finance broker",70,"$30.56",60,29
60,"commercial real estate finance rates",90,"$7.57",66,33
61,"commercial real estate financing rates",90,"$6.82",55,29
62,"commercial real estate lender",260,"$13.21",55,0
63,"commercial real estate lenders",260,"$13.21",55,1
64,"commercial real estate loan qualifications",50,"$7.86",46,26
65,"commercial real estate loan rates",90,"$7.57",66,32
66,"commercial real estate loan term",50,"$3.87",65,25
67,"commercial real estate loans australia",90,"$16.17",68,5
68,"commercial real estate loans calculator",1900,"$3.27",60,25
69,"commercial real estate loans rates",90,"$5.49",47,0
70,"construction loan for commercial property",140,"$11.84",22,26
71,"credit score for house loan",170,"$6.52",39,0
72,"crown property finance",50,"$0.00",1,31
73,"current commercial property loan rates",140,"$5.47",13,2
74,"current commercial real estate loan rates",110,"$5.66",24,5
75,"deposit for house loan",210,"$17.49",68,0
76,"development finance property",210,"$9.70",19,2
